talk_id,title,speaker_1,views,recorded_date,published_date,event,comments,duration,Topics
115,"""La Vie en Rose""",Rachelle Garniez,478074,02-02-2004,16-04-2007,TED2004,39,201,"entertainment, live music, music, performance"
116,Dangerous memes,Dan Dennett,1966957,02-02-2002,02-07-2007,TED2002,405,926,"culture, faith, meme, philosophy, religion"
117,Cape Breton fiddling in reel time,Natalie MacMaster,835896,02-02-2002,01-05-2007,TED2002,69,311,"entertainment, history, music, performance, violin, live music"
118,The genesis of Google,Sergey Brin,1832547,02-02-2004,03-05-2007,TED2004,63,1233,"Google, business, collaboration, culture, design, technology, web"
119,"""Black Men Ski""", Stew,677169,03-03-2006,07-05-2007,TED2006,75,277,"culture, entertainment, live music, music, performance, poetry, race, sports"
121,The ghastly tragedy of the suburbs,James Howard Kunstler,2085779,02-02-2004,12-05-2007,TED2004,359,1184,"alternative energy, architecture, cars, cities, consumerism, culture, design, energy, transportation"
122,Human-centered design,David Kelley,1074003,02-02-2002,15-05-2007,TED2002,35,1020,"collaboration, creativity, culture, design, museums, philanthropy, water, science and art"
123,What squatter cities can teach us,Stewart Brand,1108933,02-02-2006,17-05-2007,TED2006,101,185,"business, cities, culture, future, global issues, poverty, technology, urban planning"
125,How brain science will change computing,Jeff Hawkins,1683291,02-02-2003,21-05-2007,TED2003,244,1211,"AI, brain, cognitive science, computers, intelligence, memory, science, technology"
126,Swim with the giant sunfish,Tierney Thys,1373015,02-02-2003,21-05-2007,TED2003,92,1001,"animals, biodiversity, climate change, environment, fish, global issues, oceans, science, technology, marine biology"
127,Want to help Africa? Do business here,Ngozi Okonjo-Iweala,1368359,03-03-2007,30-05-2007,TED2007,134,1213,"business, corruption, global issues, investment, women, women in business"
128,Salvation (and profit) in greentech,John Doerr,1145381,03-03-2007,27-05-2007,TED2007,297,1072,"climate change, environment, global issues, green, investment, sustainability, technology"
129,How PhotoSynth can connect the world's images,Blaise Agüera y Arcas,5857476,03-03-2007,27-05-2007,TED2007,260,450,"collaboration, demo, microsoft, photography, software, technology, visualizations, virtual reality"
130,We can be Buddhas,Robert Thurman,2073232,01-12-2006,06-06-2007,TEDSalon 2006,231,726,"Buddhism, God, culture, global issues, happiness, peace, religion"
131,Rethink the desktop with BumpTop,Anand Agarawala,1683225,03-03-2007,05-06-2007,TED2007,125,279,"demo, interface design, software, technology"
139,Tour Microsoft's Virtual Earth,Stephen Lawler,340241,03-03-2007,20-06-2007,TED2007,23,370,"design, map, microsoft, technology, virtual reality"
140,New insights on poverty,Hans Rosling,3789853,03-03-2007,25-06-2007,TED2007,268,1137,"Africa, Asia, Google, economics, global issues, health, inequality, statistics, visualizations, global development, poverty"
141,Inside the world's deepest caves,Bill Stone,2151331,03-03-2007,27-06-2007,TED2007,249,1063,"Moon, NASA, Planets, adventure, energy, exploration, mining, space, technology"
142,The potential of regenerative medicine,Alan Russell,1753602,02-02-2006,04-07-2007,TED2006,155,1165,"cancer, design, health, health care, medicine, technology, bioethics"
143,Flip your thinking on AIDS in Africa,Emily Oster,925394,03-03-2007,12-07-2007,TED2007,137,934,"AIDS, Africa, economics, global issues, health, science, statistics, HIV"
144,The Web's secret stories,Jonathan Harris,1158455,03-03-2007,08-07-2007,TED2007,148,1030,"design, entertainment, global issues, software, technology"
145,The emergent genius of ant colonies,Deborah Gordon,1181696,02-02-2003,08-01-2008,TED2003,100,1231,"ants, biology, collaboration, design, insects, science"
146,"Spore, birth of a game",Will Wright,1332815,03-03-2007,17-07-2007,TED2007,135,997,"demo, design, entertainment, gaming, technology"
147,Visualizing the wonder of a living cell,David Bolinsky,2228063,03-03-2007,22-07-2007,TED2007,237,585,"design, entertainment, film, health, medicine, science, technology, visualizations, animation"
148,The  4 a.m. mystery, Rives,4148915,03-03-2007,17-07-2007,TED2007,292,552,"entertainment, poetry, spoken word"
149,How to get (a new) hip,Allison Hunt,637174,03-03-2007,24-07-2007,TED2007,82,288,"culture, health care, marketing, medicine"
151,Africa's cheetahs versus hippos,George Ayittey,762276,05-06-2007,30-07-2007,TEDGlobal 2007,103,1070,"Africa, business, economics, entrepreneur, global issues, philanthropy, corruption, global development"
152,Aid versus trade,Ngozi Okonjo-Iweala,671766,07-06-2007,31-07-2007,TEDGlobal 2007,119,1330,"economics, entrepreneur, global issues, health care, investment, philanthropy, women, women in business, global development, Africa, business"
153,How I built a windmill,William Kamkwamba,3029410,05-06-2007,31-07-2007,TEDGlobal 2007,190,252,"Africa, alternative energy, design, energy, global issues, interview, library, technology"
154,Why invest in Africa,Euvin Naidoo,500618,04-06-2007,31-07-2007,TEDGlobal 2007,33,1141,"Africa, business, entrepreneur, global issues, investment"
155,Telling stories from Africa,Chris Abani,726033,06-06-2007,09-08-2007,TEDGlobal 2007,80,1056,"Africa, culture, entertainment, global issues, literature, poetry, storytelling"
156,How to educate leaders? Liberal arts,Patrick Awuah,1776728,06-06-2007,03-08-2007,TEDGlobal 2007,152,1051,"Africa, culture, education, global issues, leadership, social change"
157,Patient capitalism,Jacqueline Novogratz,1384200,05-06-2007,12-08-2007,TEDGlobal 2007,111,1103,"business, global issues, investment, medicine, philanthropy, poverty, women, women in business, global development, markets"
158,"""Thula Mama""",Vusi Mahlasela,693144,07-06-2007,15-08-2007,TEDGlobal 2007,64,606,"Africa, activism, entertainment, live music, music, singer, women"
159,Aid for Africa? No thanks.,Andrew Mwenda,1251256,06-06-2007,04-09-2007,TEDGlobal 2007,142,1027,"Africa, business, global issues, investment, philanthropy, technology, global development"
161,The joy of lexicography,Erin McKean,1284200,03-03-2007,30-08-2007,TED2007,162,950,"culture, education, entertainment, language, books"
162,"My creations, a new form of life",Theo Jansen,5300648,03-03-2007,06-09-2007,TED2007,309,493,"animals, art, biomechanics, creativity, demo, design, entertainment, technology, science and art"
163,The surprising decline in violence,Steven Pinker,3053218,03-03-2007,10-09-2007,TED2007,720,1155,"business, culture, global issues, media, sociology, violence, war"
